custid,총구매액,구매건수,평균구매가격,구매브랜드종류,내점일수,가을_구매건수,겨울_구매건수,봄_구매건수,여름_구매건수,아침_구매건수,점심_구매건수,아침구매액,점심구매액,봄구매액,여름구매액,가을구매액,겨울구매액,구매브랜드가치,gender
100027,1227970,20,61398,14,11,7.0,0.0,2.0,11.0,0.0,16.0,0.0,80800.0,10100.0,55550.0,35350.0,0.0,859579.0,0
100028,380640,11,34604,11,8,5.0,1.0,0.0,5.0,0.0,6.0,0.0,33272.727,0.0,27727.273,27727.273,5545.455,380640.0,0
100029,6399559,147,43534,47,55,46.0,34.0,35.0,32.0,28.0,94.0,312197.143,1048090.408,390246.429,356796.735,512895.306,379096.531,2046117.503,0
100030,4331510,35,123757,26,16,5.0,11.0,16.0,3.0,0.0,25.0,0.0,82142.857,52571.429,9857.143,16428.571,36142.857,3217693.143,0
100031,5239410,46,113900,17,17,8.0,1.0,22.0,15.0,2.0,20.0,56783.478,567834.783,624618.261,425876.087,227133.913,28391.739,1936303.696,1
100032,671300,9,74589,6,5,0.0,2.0,1.0,6.0,0.0,9.0,0.0,1269180.0,141020.0,846120.0,0.0,282040.0,447533.333,0
100033,4074320,34,119833,18,18,20.0,8.0,1.0,5.0,5.0,20.0,443723.529,1774894.118,88744.706,443723.529,1774894.118,709957.647,2156992.941,0
100034,119000,8,14875,3,4,0.0,8.0,0.0,0.0,3.0,4.0,816862.5,1089150.0,0.0,0.0,0.0,2178300.0,44625.0,0
100035,936400,6,156067,4,4,0.0,5.0,1.0,0.0,0.0,3.0,0.0,3153600.0,1051200.0,0.0,0.0,5256000.0,624266.667,0
100036,846500,9,94056,9,2,0.0,2.0,7.0,0.0,0.0,7.0,0.0,300377.778,300377.778,0.0,0.0,85822.222,846500.0,0
100037,4932533,60,82209,27,28,15.0,12.0,8.0,25.0,11.0,47.0,399758.333,1708058.333,290733.333,908541.667,545125.0,436100.0,2219639.85,1
100038,3522100,24,146754,19,12,2.0,13.0,9.0,0.0,4.0,10.0,371350.0,928375.0,835537.5,0.0,185675.0,1206887.5,2788329.167,0
100039,1280000,38,33684,16,21,11.0,9.0,10.0,8.0,12.0,25.0,3864631.579,8051315.789,3220526.316,2576421.053,3542578.947,2898473.684,538947.368,1
100040,5286338,148,35718,60,87,26.0,25.0,58.0,39.0,21.0,65.0,64532.432,199743.243,178232.432,119845.946,79897.297,76824.324,2143110.0,0
100041,22333124,61,366117,31,24,21.0,14.0,10.0,16.0,10.0,42.0,135278.689,568170.492,135278.689,216445.902,284085.246,189390.164,11349620.393,0
100042,542400,6,90400,6,6,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,117350.0,0.0,234700.0,352050.0,542400.0,0
100043,7963900,45,176976,39,11,15.0,21.0,6.0,3.0,6.0,36.0,614766.933,3688601.6,614766.933,307383.467,1536917.333,2151684.267,6902046.667,0
100044,1804157,17,106127,15,6,3.0,2.0,10.0,2.0,5.0,4.0,279294.118,223435.294,558588.235,111717.647,167576.471,111717.647,1591903.235,0
100045,3958400,42,94248,20,27,19.0,8.0,7.0,8.0,0.0,30.0,0.0,248928.571,58083.333,66380.952,157654.762,66380.952,1884952.381,0
100046,1019429,21,48544,15,8,4.0,4.0,8.0,5.0,11.0,7.0,417161.905,265466.667,303390.476,189619.048,151695.238,151695.238,728163.571,1
100047,5687936,17,334584,15,9,1.0,7.0,6.0,3.0,2.0,11.0,158552.941,872041.176,475658.824,237829.412,79276.471,554935.294,5018767.059,0
100048,1081000,12,90083,10,11,1.0,6.0,3.0,2.0,1.0,5.0,64983.333,324916.667,194950.0,129966.667,64983.333,389900.0,900833.333,0
100049,3772020,74,50973,46,39,19.0,12.0,24.0,19.0,1.0,62.0,26728.378,1657159.459,641481.081,507839.189,507839.189,320740.541,2344769.189,0
100050,862339,15,57489,7,9,9.0,0.0,1.0,5.0,1.0,14.0,29265.867,409722.133,29265.867,146329.333,263392.8,0.0,402424.867,0
100051,2419540,33,73319,19,16,10.0,3.0,10.0,10.0,2.0,27.0,9757.576,131727.273,48787.879,48787.879,48787.879,14636.364,1393068.485,0
100052,347440,9,38604,7,6,5.0,0.0,0.0,4.0,5.0,4.0,87722.222,70177.778,0.0,70177.778,87722.222,0.0,270231.111,0
100053,3854512,98,39332,35,50,32.0,26.0,11.0,29.0,19.0,53.0,1447858.163,4038762.245,838233.673,2209888.776,2438497.959,1981279.592,1376611.429,0
100054,2475770,63,39298,12,51,14.0,8.0,18.0,23.0,25.0,30.0,151507.937,181809.524,109085.714,139387.302,84844.444,48482.54,471575.238,0
100055,181000,2,90500,2,1,2.0,0.0,0.0,0.0,2.0,0.0,1751905.0,0.0,0.0,0.0,1751905.0,0.0,181000.0,1
100056,1487932,26,57228,12,18,10.0,0.0,8.0,8.0,16.0,10.0,1595200.0,997000.0,797600.0,797600.0,997000.0,0.0,686737.846,0
100057,11826950,125,94616,49,47,55.0,14.0,26.0,30.0,13.0,89.0,241612.8,1654118.4,483225.6,557568.0,1022208.0,260198.4,4636164.4,0
100058,1818847,39,46637,19,25,6.0,8.0,6.0,19.0,2.0,27.0,12666.667,171000.0,38000.0,120333.333,38000.0,50666.667,886104.949,0
100059,7278514,59,123365,41,33,8.0,15.0,24.0,12.0,11.0,39.0,487057.627,1726840.678,1062671.186,531335.593,354223.729,664169.492,5057950.407,0
100060,1246960,20,62348,11,11,5.0,8.0,5.0,2.0,2.0,18.0,52530.0,472770.0,131325.0,52530.0,131325.0,210120.0,685828.0,0
100061,6375242,51,125005,32,21,4.0,14.0,9.0,24.0,4.0,38.0,211615.686,2010349.02,476135.294,1269694.118,211615.686,740654.902,4000151.843,0
100062,320200,4,80050,3,4,1.0,1.0,0.0,2.0,0.0,4.0,0.0,3467400.0,0.0,1733700.0,866850.0,866850.0,240150.0,0
100063,5620554,38,147909,28,18,16.0,7.0,2.0,13.0,11.0,19.0,413542.105,714300.0,75189.474,488731.579,601515.789,263163.158,4141460.842,0
100064,2342362,33,70981,23,10,12.0,1.0,18.0,2.0,0.0,22.0,0.0,168000.0,137454.545,15272.727,91636.364,7636.364,1632555.333,0
100065,1336900,17,78641,12,11,2.0,6.0,4.0,5.0,0.0,12.0,0.0,1103788.235,367929.412,459911.765,183964.706,551894.118,943694.118,0
100066,2971261,29,102457,17,19,3.0,9.0,8.0,9.0,3.0,17.0,96517.241,546931.034,257379.31,289551.724,96517.241,289551.724,1741773.69,0
100067,1436900,17,84524,12,6,6.0,0.0,2.0,9.0,0.0,17.0,0.0,1265800.0,148917.647,670129.412,446752.941,0.0,1014282.353,0
100068,5028100,26,193388,23,12,4.0,9.0,10.0,3.0,0.0,22.0,0.0,3339600.0,1518000.0,455400.0,607200.0,1366200.0,4447934.615,0
100069,1434600,9,159400,8,8,0.0,1.0,6.0,2.0,1.0,5.0,91688.889,458444.444,550133.333,183377.778,0.0,91688.889,1275200.0,0
100070,404100,5,80820,5,5,2.0,1.0,2.0,0.0,0.0,3.0,0.0,1663440.0,1108960.0,0.0,1108960.0,554480.0,404100.0,0
100071,1640054,32,51252,24,25,8.0,6.0,14.0,4.0,12.0,17.0,137418.75,194676.562,160321.875,45806.25,91612.5,68709.375,1230040.5,0
100072,209000,3,69667,3,1,0.0,0.0,3.0,0.0,0.0,1.0,0.0,428000.0,1284000.0,0.0,0.0,0.0,209000.0,0
100073,4078404,29,140635,23,24,6.0,5.0,10.0,8.0,4.0,18.0,418033.103,1881148.966,1045082.759,836066.207,627049.655,522541.379,3234596.276,0
100074,163800,3,54600,3,3,0.0,0.0,3.0,0.0,0.0,3.0,0.0,331300.0,331300.0,0.0,0.0,0.0,163800.0,0
100075,2888700,19,152037,12,5,3.0,12.0,1.0,3.0,8.0,11.0,227368.421,312631.579,28421.053,85263.158,85263.158,341052.632,1824442.105,1
100076,536128,10,53613,5,5,0.0,3.0,7.0,0.0,0.0,5.0,0.0,611700.0,856380.0,0.0,0.0,367020.0,268064.0,0
100077,499900,10,49990,9,8,5.0,2.0,2.0,1.0,0.0,8.0,0.0,204800.0,51200.0,25600.0,128000.0,51200.0,449910.0,0
100078,2946247,60,49104,18,33,9.0,5.0,22.0,24.0,2.0,55.0,3633.333,99916.667,39966.667,43600.0,16350.0,9083.333,883874.1,0
100079,263000,4,65750,3,4,2.0,2.0,0.0,0.0,0.0,2.0,0.0,441339.5,0.0,0.0,441339.5,441339.5,197250.0,0
100080,888000,6,148000,5,5,1.0,1.0,3.0,1.0,2.0,4.0,124533.333,249066.667,186800.0,62266.667,62266.667,62266.667,740000.0,0
100081,1175200,17,69129,12,11,0.0,11.0,6.0,0.0,0.0,11.0,0.0,425635.294,232164.706,0.0,0.0,425635.294,829552.941,0
100082,2904892,30,96830,9,12,13.0,1.0,11.0,5.0,16.0,3.0,120533.333,22600.0,82866.667,37666.667,97933.333,7533.333,871467.6,0
100083,2236208,26,86008,17,19,4.0,4.0,15.0,3.0,4.0,15.0,242984.615,911192.308,911192.308,182238.462,242984.615,242984.615,1462136.0,0
100084,2496831,31,80543,21,16,4.0,12.0,9.0,6.0,14.0,9.0,522741.935,336048.387,336048.387,224032.258,149354.839,448064.516,1691401.645,1
100085,12498965,152,82230,46,60,33.0,41.0,38.0,40.0,68.0,63.0,425671.053,394371.711,237875.0,250394.737,206575.658,256654.605,3782581.513,1
100086,3711400,45,82476,30,21,18.0,5.0,8.0,14.0,0.0,25.0,0.0,378555.556,121137.778,211991.111,272560.0,75711.111,2474266.667,0
100087,4111161,30,137039,20,14,7.0,1.0,5.0,17.0,12.0,10.0,101920.0,84933.333,42466.667,144386.667,59453.333,8493.333,2740774.0,0
100088,5295700,47,112674,26,26,11.0,1.0,18.0,17.0,1.0,37.0,50153.191,1855668.085,902757.447,852604.255,551685.106,50153.191,2929536.17,0
100089,167000,2,83500,2,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,208000.0,0.0,0.0,0.0,167000.0,0
100090,10715500,20,535775,10,15,7.0,3.0,6.0,4.0,6.0,10.0,839046.0,1398410.0,839046.0,559364.0,978887.0,419523.0,5357750.0,0
100091,2374684,8,296836,8,5,4.0,1.0,2.0,1.0,0.0,7.0,0.0,4972100.0,1420600.0,710300.0,2841200.0,710300.0,2374684.0,0
100092,2973500,38,78250,20,16,10.0,10.0,13.0,5.0,9.0,26.0,292689.474,845547.368,422773.684,162605.263,325210.526,325210.526,1565000.0,0
100093,4574200,31,147555,20,11,3.0,8.0,20.0,0.0,0.0,23.0,0.0,1087158.065,945354.839,0.0,141803.226,378141.935,2951096.774,0
100094,189300,5,37860,4,4,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1519944.0,1013296.0,0.0,506648.0,1013296.0,151440.0,0
100095,4404599,51,86365,20,18,18.0,26.0,2.0,5.0,11.0,22.0,777424.784,1554849.569,141349.961,353374.902,1272149.647,1837549.49,1727293.725,0
100096,989000,13,76077,11,7,2.0,6.0,5.0,0.0,3.0,4.0,398584.615,531446.154,664307.692,0.0,265723.077,797169.231,836846.154,0
100097,2822191,47,60047,23,20,8.0,18.0,13.0,8.0,6.0,23.0,94665.957,362886.17,205109.574,126221.277,126221.277,283997.872,1381072.191,0
100098,1298600,16,81162,11,9,3.0,5.0,8.0,0.0,1.0,14.0,58087.5,813225.0,464700.0,0.0,174262.5,290437.5,892787.5,1
100099,8623400,60,143723,31,26,19.0,12.0,18.0,11.0,1.0,46.0,16190.0,744740.0,291420.0,178090.0,307610.0,194280.0,4455423.333,0
100100,984900,17,57935,12,10,7.0,3.0,2.0,5.0,2.0,12.0,239176.471,1435058.824,239176.471,597941.176,837117.647,358764.706,695223.529,0
100101,122099,7,17443,5,5,1.0,4.0,2.0,0.0,1.0,3.0,12657.143,37971.429,25314.286,0.0,12657.143,50628.571,87213.571,0
100102,492000,8,61500,6,7,1.0,1.0,5.0,1.0,0.0,6.0,0.0,315750.0,263125.0,52625.0,52625.0,52625.0,369000.0,0
100103,156000,1,156000,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8172461.0,0.0,0.0,0.0,8172461.0,156000.0,0
100104,1642400,14,117314,12,9,0.0,9.0,2.0,3.0,3.0,8.0,271090.714,722908.571,180727.143,271090.714,0.0,813272.143,1407771.429,0
100105,583000,3,194333,3,2,0.0,0.0,1.0,2.0,2.0,1.0,290992.0,145496.0,145496.0,290992.0,0.0,0.0,583000.0,1
100106,2369380,54,43877,36,30,17.0,15.0,10.0,12.0,4.0,38.0,347091.111,3297365.556,867727.778,1041273.333,1475137.222,1301591.667,1579586.667,0
100107,1541974,26,59307,9,21,4.0,5.0,8.0,9.0,7.0,17.0,78076.923,189615.385,89230.769,100384.615,44615.385,55769.231,533760.231,0
100108,2069400,38,54458,24,25,8.0,6.0,4.0,20.0,3.0,25.0,123473.684,1028947.368,164631.579,823157.895,329263.158,246947.368,1306989.474,0
100109,1230467,20,61523,10,17,11.0,4.0,3.0,2.0,1.0,17.0,107883.5,1834019.5,323650.5,215767.0,1186718.5,431534.0,615233.5,0
100110,302500,6,50417,6,3,4.0,1.0,0.0,1.0,1.0,5.0,88333.333,441666.667,0.0,88333.333,353333.333,88333.333,302500.0,1
100111,2306767,14,164769,12,7,2.0,5.0,5.0,2.0,0.0,14.0,0.0,1269800.0,453500.0,181400.0,181400.0,453500.0,1977228.857,1
100112,11868318,83,142992,36,36,23.0,23.0,22.0,15.0,11.0,52.0,218939.759,1034987.952,437879.518,298554.217,457783.133,457783.133,5147704.193,0
100113,1052900,17,61935,13,13,3.0,3.0,6.0,5.0,2.0,14.0,25411.765,177882.353,76235.294,63529.412,38117.647,38117.647,805158.824,0
100114,201800,3,67267,3,3,0.0,0.0,1.0,2.0,0.0,1.0,0.0,65333.333,65333.333,130666.667,0.0,0.0,201800.0,0
100115,4117728,43,95761,19,16,3.0,9.0,20.0,11.0,12.0,21.0,2104523.442,3682916.023,3507539.07,1929146.488,526130.86,1578392.581,1819461.209,0
100116,2642400,18,146800,17,9,0.0,10.0,6.0,2.0,1.0,12.0,38288.889,459466.667,229733.333,76577.778,0.0,382888.889,2495600.0,0
100117,1542100,8,192762,7,6,0.0,2.0,1.0,5.0,1.0,6.0,95568.875,573413.25,95568.875,477844.375,0.0,191137.75,1349337.5,0
100118,8315320,191,43536,49,90,57.0,41.0,50.0,43.0,9.0,120.0,124303.665,1657382.199,690575.916,593895.288,787256.545,566272.251,2133249.634,0
100119,105400,4,26350,4,2,0.0,0.0,4.0,0.0,1.0,0.0,13150.0,0.0,52600.0,0.0,0.0,0.0,105400.0,0
100120,4770320,65,73390,39,28,29.0,5.0,11.0,20.0,9.0,45.0,419580.0,2097900.0,512820.0,932400.0,1351980.0,233100.0,2862192.0,0
100121,1806500,12,150542,9,4,0.0,0.0,9.0,3.0,0.0,11.0,0.0,228250.0,186750.0,62250.0,0.0,0.0,1354875.0,0
100122,574699,6,95783,4,5,3.0,1.0,1.0,1.0,0.0,5.0,0.0,575000.0,115000.0,115000.0,345000.0,115000.0,383132.667,0
100123,1063000,6,177167,4,2,0.0,0.0,6.0,0.0,0.0,4.0,0.0,1566000.0,2349000.0,0.0,0.0,0.0,708666.667,0
100124,10583011,121,87463,61,62,33.0,35.0,46.0,7.0,8.0,83.0,242743.802,2518466.942,1395776.86,212400.826,1001318.182,1062004.132,5335236.95,0
100125,1427083,20,71354,10,13,2.0,6.0,9.0,3.0,3.0,17.0,727971.0,4125169.0,2183913.0,727971.0,485314.0,1455942.0,713541.5,0
100126,1422000,5,284400,4,3,0.0,0.0,5.0,0.0,1.0,4.0,270160.0,1080640.0,1350800.0,0.0,0.0,0.0,1137600.0,0
100127,1605831,29,55373,14,14,4.0,4.0,17.0,4.0,9.0,20.0,322724.483,717165.517,609590.69,143433.103,143433.103,143433.103,775228.759,0
100128,2332400,40,58310,17,25,7.0,8.0,14.0,11.0,6.0,28.0,79443.0,370734.0,185367.0,145645.5,92683.5,105924.0,991270.0,0
100129,1413500,9,157056,7,5,0.0,3.0,1.0,5.0,0.0,7.0,0.0,23333.333,3333.333,16666.667,0.0,10000.0,1099388.889,0
100130,3633456,41,88621,27,16,7.0,17.0,4.0,13.0,1.0,13.0,24326.829,316248.78,97307.317,316248.78,170287.805,413556.098,2392763.707,0
100131,124000,2,62000,2,1,2.0,0.0,0.0,0.0,0.0,2.0,0.0,583900.0,0.0,0.0,583900.0,0.0,124000.0,0
100132,787406,22,35791,14,11,5.0,4.0,2.0,11.0,5.0,6.0,385954.545,463145.455,154381.818,849100.0,385954.545,308763.636,501076.545,0
100133,388900,4,97225,4,2,1.0,0.0,0.0,3.0,1.0,3.0,380200.0,1140600.0,0.0,1140600.0,380200.0,0.0,388900.0,0
100134,4247000,48,88479,24,25,11.0,7.0,13.0,17.0,13.0,30.0,119708.333,276250.0,119708.333,156541.667,101291.667,64458.333,2123500.0,0
100135,5278069,72,73307,42,35,17.0,18.0,19.0,18.0,4.0,54.0,515982.056,6965757.75,2450914.764,2321919.25,2192923.736,2321919.25,3078873.583,0
100136,43951227,87,505187,40,37,42.0,10.0,15.0,20.0,2.0,61.0,5241.379,159862.069,39310.345,52413.793,110068.966,26206.897,20207460.69,0
100137,632000,4,158000,4,3,3.0,1.0,0.0,0.0,0.0,1.0,0.0,469925.0,0.0,0.0,1409775.0,469925.0,632000.0,0
100138,2287100,32,71472,20,15,12.0,1.0,10.0,9.0,10.0,15.0,761898.75,1142848.125,761898.75,685708.875,914278.5,76189.875,1429437.5,0
100139,6486720,53,122391,30,25,5.0,2.0,31.0,15.0,9.0,42.0,915728.264,4273398.566,3154175.132,1526213.774,508737.925,203495.17,3671728.302,1
100140,820503,17,48265,8,10,8.0,7.0,1.0,1.0,2.0,15.0,272117.647,2040882.353,136058.824,136058.824,1088470.588,952411.765,386119.059,0
100141,929260,18,51626,13,17,4.0,5.0,4.0,5.0,7.0,8.0,2369983.0,2708552.0,1354276.0,1692845.0,1354276.0,1692845.0,671132.222,0
100142,136500,5,27300,4,2,2.0,0.0,3.0,0.0,0.0,5.0,0.0,5933600.0,3560160.0,0.0,2373440.0,0.0,109200.0,0
100143,716000,6,119333,4,4,0.0,3.0,2.0,1.0,1.0,4.0,82400.0,329600.0,164800.0,82400.0,0.0,247200.0,477333.333,0
100144,1388600,20,69430,13,11,4.0,9.0,7.0,0.0,15.0,5.0,291450.0,97150.0,136010.0,0.0,77720.0,174870.0,902590.0,1
100145,3856000,38,101474,21,18,16.0,9.0,4.0,9.0,29.0,7.0,1644417.526,396928.368,226816.211,510336.474,907264.842,510336.474,2130947.368,0
100146,1054376,16,65898,6,10,1.0,1.0,7.0,7.0,0.0,16.0,0.0,2432300.0,1064131.25,1064131.25,152018.75,152018.75,395391.0,0
100147,1838410,42,43772,28,32,12.0,15.0,8.0,7.0,0.0,24.0,0.0,206742.857,68914.286,60300.0,103371.429,129214.286,1225606.667,0
100148,1574897,27,58330,13,15,0.0,16.0,4.0,7.0,0.0,7.0,0.0,521160.37,297805.926,521160.37,0.0,1191223.704,758283.741,0
100149,8538078,85,100448,49,47,21.0,14.0,18.0,32.0,22.0,60.0,325392.941,887435.294,266230.588,473298.824,310602.353,207068.235,4921950.847,0
100150,3283577,28,117271,16,6,20.0,5.0,3.0,0.0,0.0,21.0,0.0,1089600.0,155657.143,0.0,1037714.286,259428.571,1876329.714,0
100151,574090,21,27338,14,15,4.0,6.0,5.0,6.0,6.0,13.0,283225.714,613655.714,236021.429,283225.714,188817.143,283225.714,382726.667,0
100152,2014390,28,71942,15,19,2.0,9.0,9.0,8.0,16.0,11.0,484000.0,332750.0,272250.0,242000.0,60500.0,272250.0,1079137.5,0
100153,3530459,33,106984,16,12,8.0,3.0,3.0,19.0,16.0,14.0,267248.485,233842.424,50109.091,317357.576,133624.242,50109.091,1711737.697,1
100154,6281842,50,125637,23,26,18.0,19.0,5.0,8.0,38.0,12.0,350816.0,110784.0,46160.0,73856.0,166176.0,175408.0,2889647.32,0
100155,946400,15,63093,13,12,2.0,6.0,3.0,4.0,0.0,11.0,0.0,550440.0,150120.0,200160.0,100080.0,300240.0,820213.333,0
100156,2110200,24,87925,19,11,5.0,9.0,5.0,5.0,0.0,20.0,0.0,3386500.0,846625.0,846625.0,846625.0,1523925.0,1670575.0,0
100157,757800,10,75780,8,7,3.0,0.0,2.0,5.0,3.0,7.0,33300.0,77700.0,22200.0,55500.0,33300.0,0.0,606240.0,0
100158,1748000,20,87400,14,7,0.0,0.0,20.0,0.0,7.0,11.0,241745.0,379885.0,690700.0,0.0,0.0,0.0,1223600.0,0
100159,1909320,52,36718,20,27,17.0,19.0,7.0,9.0,6.0,37.0,434188.038,2677492.904,506552.712,651282.058,1230199.442,1374928.788,734353.846,1
100160,4758966,42,113309,26,30,9.0,10.0,7.0,16.0,4.0,19.0,5999.524,28497.738,10499.167,23998.095,13498.929,14998.81,2946026.571,0
100161,1152978,9,128109,8,7,2.0,1.0,3.0,3.0,4.0,5.0,1019377.778,1274222.222,764533.333,764533.333,509688.889,254844.444,1024869.333,1
100162,6907490,98,70485,65,43,26.0,20.0,17.0,35.0,11.0,40.0,28678.571,104285.714,44321.429,91250.0,67785.714,52142.857,4581498.469,0
100163,381170,16,23823,8,7,3.0,4.0,9.0,0.0,1.0,10.0,28650.0,286500.0,257850.0,0.0,85950.0,114600.0,190585.0,0
100164,10440291,78,133850,40,53,30.0,15.0,18.0,15.0,11.0,36.0,107264.103,351046.154,175523.077,146269.231,292538.462,146269.231,5353995.385,0
100165,2061672,35,58905,13,19,9.0,2.0,10.0,14.0,2.0,28.0,89178.286,1248496.0,445891.429,624248.0,401302.286,89178.286,765763.886,1
100166,3143900,39,80613,26,15,12.0,17.0,9.0,1.0,9.0,24.0,1315200.0,3507200.0,1315200.0,146133.333,1753600.0,2484266.667,2095933.333,0
100167,419675,19,22088,13,13,1.0,4.0,11.0,3.0,5.0,5.0,358684.211,358684.211,789105.263,215210.526,71736.842,286947.368,287146.053,0
100168,3839614,164,23412,17,114,44.0,36.0,36.0,48.0,17.0,37.0,175296.951,381528.659,371217.073,494956.098,453709.756,371217.073,398008.768,0
100169,7477832,124,60305,48,72,16.0,39.0,44.0,25.0,6.0,31.0,210091.935,1085475.0,1540674.194,875383.065,560245.161,1365597.581,2894644.645,0
100170,1536790,8,192099,8,5,2.0,3.0,2.0,1.0,0.0,8.0,0.0,2093900.0,523475.0,261737.5,523475.0,785212.5,1536790.0,1
100171,1610120,22,73187,16,10,8.0,8.0,6.0,0.0,3.0,13.0,9136.364,39590.909,18272.727,0.0,24363.636,24363.636,1170996.364,0
100172,208400,9,23156,4,8,0.0,2.0,5.0,2.0,0.0,4.0,0.0,594577.778,743222.222,297288.889,0.0,297288.889,92622.222,0
100173,23632393,191,123730,55,78,45.0,41.0,39.0,66.0,12.0,160.0,188458.366,2512778.22,612489.691,1036521.016,706718.874,643899.419,6805139.346,0
100174,676759,10,67676,5,9,1.0,2.0,3.0,4.0,2.0,7.0,106200.0,371700.0,159300.0,212400.0,53100.0,106200.0,338379.5,0
100175,9555990,87,109839,52,40,14.0,23.0,45.0,5.0,10.0,31.0,145402.299,450747.126,654310.345,72701.149,203563.218,334425.287,5711626.207,0
100176,1923700,30,64123,20,20,0.0,10.0,7.0,13.0,0.0,15.0,0.0,568500.0,265300.0,492700.0,0.0,379000.0,1282466.667,0
100177,2670889,69,38709,22,40,12.0,30.0,14.0,13.0,21.0,46.0,94652.174,207333.333,63101.449,58594.203,54086.957,135217.391,851587.797,0
